!	I have a comment
*$	Starbucks
ROTM	Right On The Money
RPG	Role Playing Games
RRQ	Return Receipt reQuested
RRR	haR haR haR (instead of LOL)
RSN	Real Soon Now
RSVP	Repondez S'il Vous Plait
RT	Real Time -or- ReTweet
RTB	Returning To Base
RTBM	Read The Bloody Manual
RTBS	Reason To Be Single
RTFAQ	Read The FAQ
RTFF	Read The F***ing FAQ
RTFM	Read The F***ing Manual
RTFQ	Read The F***ing Question
RTH	Release The Hounds
RTK	Return To Keyboard
RTM or RTFM	Read The Manual -or- Read The F***ing Manual
RTS	Read The Screen
RTSM	Read The Silly Manual
RTSS	Read The Screen Stupid
RTTSD	Right Thing To Say Dude
RTWFQ	Read The Whole F***ing Question
RU	Are You?
RU/18	Are You Over 18?
RUFKM	Are You F***ing Kidding Me?
RUH	Are You Horny?
RUMCYMHMD	Are You on Medication Cause You Must Have Missed a Dose
RUMORF	Are You Male OR Female?
RUNTS	Are You Nuts?
RUOK	Are You OK?
RUS	Are You Serious?
RUSOS	Are You SOS (in trouble)?
RUT	Are You There?
RUUP4IT	Are You Up For It?
RU\\18	Are You Under 18?
RX	Regards
RYFM	Read Your Friendly Manual
RYO	Roll Your Own
RYS	Read Your Screen
S	Smile
S2R	Send To Receive
S2U	Same To You
S3<==8	screwed in the ass
S4B	Sh** for Brains
S4L	Spam For Life
SADAD	Suck A Dick And Die
SAHM	Stay At Home Mom
SAIA	Stupid Asses In Action
SANM	Starting A New Message
SAPFU	Surpassing All Previous Foul Ups
SB	Stand By
SBI	Sorry 'Bout It
SBTA	Sorry, Being Thick Again
SBUG	Small Bald Unaudacious Goal
SC	Stay Cool
SCNR	Sorry, Could Not Resist
SCUICHT	So Coked Up I Can Hardly Type
SDFB	Smoke Dope F*** B*tches
SDK	Scottie Doesn't Know -or- Software Developer's Kit
sec	wait a second
SED	Said Enough Darling
SEG	Sh** Eating Grin
SEP	Somebody Else's Problem
SETE	Smiling Ear To Ear
SEWAG	Scientifically Engineered Wild Ass Guess
SEX	Sun Users' Group -or- ALL CAPS for sex
SF	Surfer Friendly -or- Science Fiction
SFAIAA	So Far As I Am Aware
SFB	Sh** For Brains
SFETE	Smiling From Ear To Ear
SFLA	Stupid Four Letter Acronym
SFP	Sorry For Partying
SFTTM	Stop F***ing Talking To Me
SFX	Sound Effects -or- Stage Effects
SGTM	Sounds Good To Me
SH	Sh** Happens
SHB	Should Have Been
shhh	quiet
SHID	Slap Head In Disgust
SHIT	Sugar Honey Ice Tea
SHMILY	See How Much I Love You
SHT	it means so hot
SHTF	Sh** Hits The Fan
SHWASLOMF	Sitting Here With A Straight Look On My Face
SIA	Say It Again
SIC	Spelling Is Correct
SICL	Sitting In Chair Laughing
SICS	Sitting In Chair Snickering
SII	Seriously Impaired Imagination
SIL	Sister-In-Law
SIN	Stop It Now
SIP	Skiing In Powder
SIT	Stay In Touch
SITCOM	Single Income, Two Children, Oppressive Mortgage
SITD	Still In The Dark
SITUBI	Say It Til You Believe It
SIUP	Suck It Up Pussy
SIUYA	Shove It Up Your Ass
SIY	Search Inside Yourself
SJ	Strong Jaws
sk8er	skater
sk8r	skater
Sknkr	Skincare
SL	Second Life
SLAP	Sounds Like A Plan
SLAW	Sounds Like A Winner
SLIRK	Smart Little Rich Kid
SLM	See Last Mail
SLOM	Sticking Leeches On Myself
SLT	Something Like That
SM	Senior Moment
sm1	it means someone
SMAIM	Send Me An Instant Message
SMAO	Sweating My Ass Off
SMART	Self-Monitoring, Analysis and Reporting Technology
SMB	Suck My Balls
SMD	Suck My Dick
SME	Subject Matter Expert
SMEM	Send Me E-Mail
SMH	Shaking My Head
SMIM	Send Me an Instant Message
SMOP	Small Matter of Programming
smt	something
SN	Side Note
SNAFU	Situation Normal, All F***ed Up
SNAG	Sensitive New Age Guy
SNERT	Snotty Nosed Egotistical Rotten Teenager
SNIF	Simple Nice Index File
SNL	Same Night Lay
SNNSHWRS	it means sun showers
SNNY	it means sunny
SO	Significant Other
SOB	Son Of a B*tch
SOBT	Stressed Out Big Time
SODDI	Some Other Dude Did It
SOE	Start Of Exams
SOGOP	Sh** Or Get Off the Pot
SOH	Sense Of Humor
SOHF	Sense Of Humor Failure
SOI	Self Owning Idiot
SOIAR	Sit On It And Rotate
SoIC	So I See
sok	it's ok
SOL	Sh** Out of Luck -or- Sooner Or Later
solomo	Social, Local, Mobile
some1	someone
SOMF	Sit On My Face
SOMY	Sick Of Me Yet
SOOYA	Snake Out Of Your Ass
SOP	Standard Operating Procedure
SorG	Straight or Gay
SOS	Same Old Sh** -or- help
SOSAD	Same Old Song And Dance
SOT	Short On Time
SOTMG	Short On Time, Must Go
SOW	Speaking Of Which -or- Statement Of Work
soz	Sorry
spk	it means speak
SPOC	Single Point Of Contact
SRLB	Spoiled Rotten Little Brat
SRO	Standing Room Only
srsly	seriously
sry	it means sorry
SSA	Ass Backwards
SSC	Super Sexy Cute
SSDD	Same Sh** Different Day
SSEWBA	Someday Soon, Everything Will Be Acronyms
SSIA	Subject Says It All
STA	Short Term Attitude
STBX	Soon To Be Ex
STBY	Sucks To Be You
STD	Seal The Deal, Save The Date, Sexually Transmitted Disease, Stuff To Do
STFU	Shut The F*** Up
STFW	Search The F***ing Web
sth	something
STHU	Shut The Hell Up
STM	Spank The Monkey
STML	Short Term Memory Loss
STPPYNOZGTW	Stop Picking Your Nose, Get To Work
STR8	Straight
STS	So To Speak
STST	Sweet Tea SweeTie
STW	Search The Web
STYS	Speak To You Soon
SU	Shut Up
SUAC	Sh** Up A Creek
SUAKM	Shut Up And Kiss Me
SUB	Shut Up Bitch
SUFI	Super Finger -or- Shut Up F***ing Imbecile
SUFID	Screwing Up Face In Disgust
SUL	Snooze You Lose
sup	what's up?
sux	sucks
SUYF	Shut Up You Fool
SWAG	Scientific Wild Ass Guess -or- SoftWare And Giveaways
SWAK	Sealed (or Sent) With A Kiss
SWALBCAKWS	Sealed With A Lick Because A Kiss Won't Stick
SWALK	Sealed With A Loving Kiss
SWDYT	So What Do You Think?
sweet<3	sweetheart
SWF	Single White Female
SWIM	See What I Mean?
SWIS	See What I'm Saying
SWIT	Sit and Sweat
SWL	Screaming With Laughter
SWMBO	She Who Must Be Obeyed
SWU	So What's Up
SxE	Straight Edge
SYK	So You Know
SYL	See You Later
SYS	See You Soon
SYT	See You Tomorrow
s^	what's up?
T&C	Terms & Conditions
t+	it means think positive
t2go	Time to Go
T2UL	Talk To You Later
T2UT	Talk To You Tomorrow
T@YL	Talk At You Later
TA	Thanks Again
TABOM	That's A Bunch Of Malarkey
TABOOMA	Take A Bite Out Of My Ass
TAF	That's All, Folks
TAFN	That's All For Now
TAH	Take A Hike
TAHITMOTS	There's A Hole In The Middle Of The Sea
TAKS	That's A Knee Slapper
TAM	Thanks A Million
TANJ	There Ain't No Justice
TANSIT	There's A New Sheriff In Town
TANSTAAFL	There Ain't No Such Thing As A Free Lunch
TAP	Take A Pill
TARFU	Things Are Really F***ed Up
TAS	Taking A Shower
TAW	Teachers Are Watching
TAYN	Thinking About You Now
TB	Titty Bar
TBA	To Be Advised
TBC	To Be Continued
TBD	To Be Determined
TBE	Thick Between Ears
TBH	To Be Honest
TBIU	The Bitch Is Ugly
TBT	Throwback Thursday
TBU	Thinking 'Bout You
TBYB	Try Before You Buy
TC	Take Care
TCB	Trouble Came Back -or- Taking Care of Business
TCOB	Taking Care Of Business
TCOY	Take Care Of Yourself
TD&H	Tall, Dark and Handsome
TDM	Too Darn Many
TDTM	Talk Dirty To Me
TEOTWAWKI	The End Of The World As We Know It
TF	Too Funny
TFDS	That's For Darn Sure
TFH	Thread From Hell
TFLMS	Thanks For Letting Me Share
TFM	Thanks From Me
TFMIU	The F***ing Manual Is Unreadable
TFN	Thanks For Nothing -or- Til Further Notice
TFS	Thanks For Sharing -or- Three Finger Salute
TFTC	Thanks For The Cache
TFTHAOT	Thanks For The Help Ahead Of Time
TFTT	Thanks For The Thought
TFTU	Thanks For The Update
TFX	Traffic
TFYS	The F*** You Say
TG4A	Thank God For Acronyms
TGAL	Think Globally, Act Locally
TGGTG	That Girl/Guy has Got To Go
TGIF	Thank God It's Friday
THX or TX or THKS	Thanks
TIA	Thanks In Advance
TIAIL	Think I Am In Love
TIC	Tongue In Cheek
TIGAS	Think I Give A Sh**
TILF	Teacher I'd Like to F***
TILII	Tell It Like It Is
TIME	Tears In My Eyes
TINGTES	There Is No Gravity, The Earth Sucks
TINWIS	That Is Not What I Said
TISC	This Is So Cool
TISL	This Is So Lame
TISNC	This Is So Not Cool
TISNF	That Is So Not Fair
TISNT	That Is So Not True
TJBNJ	This Job Beats No Job
TK	To Come
TKO	Technical Knock Out
TKU4UK	Thank You For Your Kindness
tl;dr	too long; didn't read
TLA	Three Letter Acronym
TLC	Tender Loving Care
TLGO	The List Goes On
TLITBC	That's Life In The Big City
TLK2UL8R	Talk To You Later
TM	Trust Me
TMA	Too Many Acronyms
TMALSS	To Make A Long Story Short
TMI	Too Much Information
TMSAISTI	That's My Story And I'm Sticking To It
TMSGO	Too Much Sh** Going On
TMTOWTDI	There's More Than One Way To Do It
TNA	Temporarily Not Available
TNC	Tongue In Cheek
TNT	Til Next Time
TNTL	Trying Not To Laugh
TNX	Thanks
to go nookleer	to explode
TOBAL	There Oughta Be A Law
TOBG	This Oughta Be Good
TOM	Tomorrow
TOMTB	Taking Off My Training Bra
TOON	short for cartoon
TOPCA	Til Our Paths Cross Again
TOT	Tons Of Time
TOY	Thinking Of You
TP	Team Player -or- TelePort -or- Thanks Pal -or- Toilet Paper
TPC	The Phone Company
TPIYP	To Put In Your Prayers
TPS	That's Pretty Stupid
TPT	Trailor Park Trash
TPTB	The Powers That Be
TQM	Total Quality Management
TRAM	The Rest Are Mine
TRDMC	Tears Running Down My Cheeks
tripdub	it means www
TRNDO	it means tornado
troo	true
TRP	Television Rating Points
TS	Tough Sh** -or- Totally Stinks
TSB	Tall, Sexy, Beautiful
TSH	Too Stinkin' Hot
TSIA	This Says It All
TSIF	Thank Science It's Friday
TSNF	That's So Not Fair
TSOB	Tough Son Of a B*tch
TSR	Totally Stuck in RAM -or- Totally Stupid Rules
TSRA	Two Shakes of a Rat's Ass
TSTB	The Sooner, The Better
TT	Big Tease
TTA	Tap That Ass
TTBOMK	To The Best Of My Knowledge
TTFN	Ta Ta For Now
TTG	Time to Go
TTIOT	The Truth Is Out There
TTKSF	Trying To Keep a Straight Face
TTMF	Ta Ta MOFO
TTS	Text To Speech
TTT	That's The Ticket -or- To The Top -or- Thought That Too
TTTH	Talk To The Hand
TTTHTFAL	Talk To The Hand The Face Ain't Listening
TTTKA	Time To Totally Kick Ass
TTTT	To Tell The Truth
TTUL	Talk To You Later
TTYAWFN	Talk To You A While From Now
TTYIAF	Talk/Type To You In A Few
TTYL	Talk To You Later -or- Type To You Later
TTYL8R	Talk To You Later
TTYOB	Tend To Your Own Business
TTYS	Talk To You Soon
TTYT	Talk To You Tomorrow
TU	Toes Up (as in dead)
TVM4YEM	Thank You Very Much For Your E-Mail
TWD	Texting While Driving
TWHAB	This Won't Hurt A Bit
TWHE	The Walls Have Ears
TWIMC	To Whom It May Concern
TWIT	That's What I Thought
TWITA	That's What I'm Talking About
TWIWI	That Was Interesting, Wasn't It?
TWSS	That's What She Said
TWTR	Twitter
TWU	That's What's Up
TXS	Thanks
TXT	Text
TXT IM	Text Instant Message
TXT MSG	text message
TY	Thank You
TYCLO	Turn Your CAPS LOCK Off
TYG	There You Go -or- Thank You God
TYL	Text You Later -or- Thank You Lord
TYVM	Thank You Very Much
u	You
u up	are you up?
U-L	You Will
U2	You Too
u4e	Yours ForEver
u8	you ate?
UBS	Unique Buying State
UCWAP	Up a Creek Without A Paddle
UDH82BME	You'd Hate To Be Me
UDM	You're the Man
UFN	Until Further Notice
UFUF	You F***, You Fix
UG2BK	You've Got To Be Kidding
UGC	User-Generated Content
UGFSU	Your Girlfriend's Ugly
UGTR	You Got That Right
UNF	Universal Noise of Fucking
UNOIT	You Know It
unPC	unPolitically Correct
UNT	Until Next Time
UNTCO	You Need To Chill Out
UOK	Are You OK?
UPOD	Under Promise Over Deliver
ur	you are
UR2K	You Are Too Kind
URAPITA	You Are A Pain In The Ass
URSAI	You Are Such An Idiot
URW	You Are Welcome
URWS	You Are Wise
URYY4M	You Are Too Wise For Me
URZ	yours
USC	Up Sh** Creek
USCWAP	Up Sh** Creek Without A Paddle
USP	Unique Selling Proposition
UTM	You Tell Me
UV	Unpleasant Visual
UWIWU	You Wish I Was You
UWM	You Want Me
UX	User eXperience
V	Very
VBG	Very Big Grin
VBMG	Very Big Mischievous Grin
VBS	Very Big Smile
VC	Venture Capital
VCDA	Vaya Con Dios, Amigo
VEG	Very Evil Grin
VFM	Value For Money
VGN	Vegan -or- Vegetarian
VIM	Very Important Member
VIP	Very Important Person
VIV	Very Important Visitor
VM	Voice Mail
VRBS	Virtual Reality Bull Sh**
VSF	Very Sad Face
VWD	Very Well Done
VWP	Very Well Played
W	With -or- Working
w wult	what would you like to talk about
w's^	what's up?
W/	With
W/E	Weekend
W/O	Without
w/r/t	with regard to
w00t	We Own the Other Team
w4m	women for men
W8	Wait
W9	Wife in room
W@	What?
WABI	What A Bright Idea
WABOC	What A Bunch Of Crap
WABOM	What A Bunch Of Malarkey
WACI	What A Cool Idea
WAD	Without A Doubt
WADI	What A Dumb Idea
WADR	With All Due Respect
WAEF	When All Else Fails
WAFB	What A F***ing Bitch
WAFM	What A F***ing Mess
WAFS	Warm And Fuzzies
WAFU	What A F*** Up
WAG	Wild Ass Guess -or- Wives And Girlfriends
WAI	What An Idiot
WAK	What A Kiss
WAMBAM	Web Application Meets Brick And Mortar
wan2	it means want to
WAS	What A Slut
WATI	What A Terrible Idea
WATN	Where Are They Now
WAW	Waiter/Actor/Webmaster -or- What A Whore
WAWI	What A Wonderful Idea
WAYD	What Are You Doing?
WAYN	Where Are You Now?
WB	Welcome Back -or- Write Back
WBS	Write Back Soon
WBU	What 'Bout You?
WC	Who Cares -or- Water Closet
WCA	Who Cares Anyway
wckd	it means wicked
WCMTSU	We Can't Make This Sh** Up
WCW	Woman Crush Wednesday
WD	Well Done
WDALYIC	Who Died And Left You In Charge?
WDDD	Woopie Doo Da Dey
WDR	With Due Respect
WDT	Who Does That?
WDYM	What Do You Mean?
WDYMBT	What Do You Mean By That?
WDYS	What Did You Say?
WDYT	What Do You Think?
WE	Whatever
WEG	Wicked Evil Grin
wenja	it means when do you
werja	it means where do you
werru	it means where are you
werubn	it means where have you been
WETSU	We Eat This Sh** Up
WF	Way Fun
WFM	Works For Me
WG	Wicked Grin
WGAFF	Who Gives A Flying F***
WGMGD	What Get's Measured Get's Done
WHYDTM	What Have You Done To Me?
WIBAMU	Well, I'll Be A Monkey's Uncle
WIBNI	Wouldn't It Be Nice If
WIIFM	What's In It For Me
WIIFY	What's In It For You
WIIWII	Well It Is What It Is
WILB	Workplace Internet Leisure Browsing
WILCO	Will Comply
WIM	Woe Is Me
WIP	Work In Process
wirld	world
WISP	Winning Is So Pleasureable
WIT	Wordsmith In Training
WITFITS	What In The F*** Is This Sh**
WITW	What In The World
WIU	Wrap It Up
wk	it means week
wkewl	way cool
wknd	it means weekend
WLMIRL	Would Like to Meet In Real Life
WLU	Wicked, Love You
WLU2	Wicked, Love You Too
WMHGB	Where Many Have Gone Before
WMMOWS	Wash My Mouth Out With Soap
WMPL	Wet My Pants Laughing
WNDY	it means windy
WNOHGB	Where No One Has Gone Before
WOA	Work Of Art
WOG	Wise Old Guy
WOM	Word Of Mouth -or- Word Of Mouse
WOMBAT	Waste Of Money, Brains And Time
WoMoBiJo	Working Mother with a Big Job
WOOF	Well Off Older Folks
woot	We Own the Other Team
WOP	With Out Papers
word	it means cool, a.k.a. word up
WOT	Waste Of Time or- it means what
WOTAM	Waste Of Time And Money
WOTD	Word Of The Day
WP	Well Played
WRM	it means warm
WRT	With Regard To -or- With Respect To
wru	where are you?
WRUD	What Are You Doing?
WRUDATM	What Are You Doing At The Moment?
WSU	What Say You?
WT	Without Thinking -or- What The -or- Who The
WTB	Want To Buy
WTDB	What's The Difference Between
WTF	What The F***
WTFDYJS	What The F*** Did You Just Say?
WTFGDA	Way To F***ing Go, Dumb Ass
WTFH	What The F***ing Hell
WTFWYCM	Why The F*** Would You Call Me?
WTFYTT	Who The F*** You Talking To
WTG	Way To Go
WTG4a\\%/	Want To Go For A Drink
WTGP	Want To Go Private?
WTH	What The Heck
WTHIN	What The Hell Is Next
WTHOW	White Trash Headline Of the Week
WTMC	What The Mother C***
WTMI	Way Too Much Information
WTN	What Then Now? -or- Who Then Now?
WTS	Want To Sell
WTSDS	Where The Sun Don't Shine
WTSHTF	When The Sh** Hits The Fan
WTTM	Without Thinking Too Much
WU	What's Up
WUF	Where You From
WUWH	Wish You Were Here
WUWHIMA	Wish You Were Here In My Arms
wuz	was
wuz4dina	What's for dinner?
wuzup	what's up?
WWJD	What Would Jesus Do?
WWNO	Walker Wheels Need Oil
WWSD	What Would Satan Do?
WWW	World Wide Web -or- World Wide Wait -or- What Went Wrong
WWY	Where Were You?
WX	Weather
WYCM	Will You Call Me?
WYD	What You Doing?
WYFM	Would You F*** Me?
WYGISWYPF	What You Get Is What You Pay For
WYM	What do You Mean?
wymyn	women
WYP	What's Your Problem?
WYRN	What's Your Real Name?
WYS	Whatever You Say
WYSILOB	What You See Is A Load of Bullocks
WYSIWYG	What You See Is What You Get
WYSLPG	What You See Looks Pretty Good
WYT	Whatever You Think
WYTB	Wish You The Best
WYW	Wish You Well
WYWH	Wish You Were Here
X	it means times
X-I-10	Exciting
XLNT	Excellent
XME	Excuse Me
XOXO	Hugs and Kisses
XOXOZZZ	Hugs and Kisses and Sweet Dreams
XQZT	Exquisite
XTC	Ecstasy
XXCC	Kiss, Kiss, Hug, Hug
Y	Why? -or- Yes
YA	Yet Another -or- You -or- Your
YA yaya	Yet Another Ya-Ya (as in yo-yo)
YABA	Yet Another Bloody Acronym
YACC	Yet Another Calendar Company
YAF	Young Angry Female
YAFIYGI	You Asked For It You Got It
YAHOO	You Always Have Other Options
YAJWD	You Ain't Just Whistling Dixie
YAOTM	Yet Another Off Topic Message
YARBWYR	You're A Right Bleed'n Wanker You Are
YATFM	You Are Too F***ing Much
YATI	You're A Total Idiot
YAUN	Yet Another Unix Nerd
YB	You B*tch
YBF	You've Been F***ed
YBS	You'll Be Sorry
YBY	Yeah Baby Yeah
YBYSA	You Bet Your Sweet Ass
YCMTSU	You Can't Make This Sh** Up
YCMU	You Crack Me Up
YCT	Your Comment To
YDKM	You Don't Know Me
YEPPIES	Young Experimenting Perfection Seekers
YF	Wife
YGBK	You Gotta Be Kidding
YGBSM	You Gotta Be Sh**ing Me
YGLT	You're Gonna Love This
YGM	You've Got Mail
YGTBK	You've Got To Be Kidding
YGWYPF	You Get What You Pay For
YHM	You Have Mail
YIC	Yours In Christ
YIU	Yes, I Understand
YIWGP	Yes, I Will Go Private
YKW	You Know What?
YKWIM	You Know What I Mean
YLH	Your Loving Husband
YLLO	You Lie Like Obama
YLW	Your Loving Wife
YM	Your Mother
YMAK	You May Already Know
YMAL	You Might Also Like
YMBKM	You Must Be Kidding Me
YMMD	You Make My Day -or- You Made My Day
YMMV	Your Mileage May Vary
YMYBNYCSII	You Made Your Bed Now You Can Sleep In It
YNGBT	You're Not Gonna Believe This
YNK	You Never Know
YOLO	You Only Live Once
Yooper	someone from U.P.
YOYO	You're On Your Own
YR	Yeah Right -or- you -or- your
YRYOCC	You're Running on Your Own Cuckoo Clock
YS	You Stinker
YSAN	You're Such A Nerd
ysdiw8	why should i wait?
YSIC	Why Should I Care?
YSK	You Should Know
YSYD	Yeah, Sure You Do
YTB	You're The Best
YTRNW	Yeah That's Right, Now What?
YTTM	You Talk Too Much
YTTT	You Telling The Truth?
YUMPI	Young Upwardly Mobile Professional Idiot
YUPPIES	Young Urban Professionals
YVW	You're Very Welcome
YW	You're Welcome
YWIA	You're Welcome In Advance
YY4U	Too Wise For You
YYSSW	Yeah Yeah Sure Sure Whatever
Z	it means said
zerg	To gang up on someone
ZMG or ZOMG	Oh My God
ZZZ	Sleeping, Bored, Tired
\M/	Heavy Metal Music
^5	High Five
^RUP^	Read Up Please
^URS	Up Yours
